name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist,clf_predicted_religion_corrected,clf_max_prob_corrected
aabdul,Muslim,0.9843655977356428,0.0032714361627196,0.9843655977356428,0.0120248500265559,0.0003141364222719,1.6348677513789324e-05,7.630975296052611e-06,Muslim,0.9936397431974077
aabhaa,Hindu,0.6721434434794386,0.6721434434794386,0.2171994499180053,0.0019449952661982,0.1083301595335113,8.057530715104044e-05,0.0003013764956955,Hindu,0.5898434343872723
aabid,Muslim,0.8108230697749801,0.1755554951220356,0.8108230697749801,0.000916466556892,0.0126694840356317,9.581221842948127e-06,2.5903288617559e-05,Muslim,0.8762639120104577
aade,Hindu,0.6646185679110448,0.6646185679110448,0.0081331974003294,0.00086253616322,0.3024257241151011,7.4827915213435e-05,0.023885146495091,Hindu,0.6509829097932692
aades,Christian,0.5254598635726798,0.4684036949681554,0.0032253259991622,0.0002474145738829,0.5254598635726798,3.742698846783492e-05,0.0026262738976517,Christian,0.5218017683521381
aadhaav,Hindu,0.8036612059949308,0.8036612059949308,0.0036693791816848,0.0008459782113992,0.1914486925560878,7.859926337354916e-05,0.0002961447925236,Hindu,0.8028151286042298
aadhimoolam,Hindu,0.9290226485104676,0.9290226485104676,0.0498117254763597,0.0014703141813437,0.019505576226071,1.062040712586347e-05,0.000179115198632,Hindu,0.9005088411819953
aadilakshmi,Hindu,0.8726909555242358,0.8726909555242358,0.0067064632863274,0.0053763867887452,0.1151801307863052,6.4946493628019655e-06,3.956896502362486e-05,Hindu,0.8715569319840429
aadithy,Hindu,0.8153878524001766,0.8153878524001766,0.0073816831266391,0.0074178784457164,0.1697025928875688,1.942542863799569e-05,9.056771126094715e-05,Hindu,0.814943537052352
aaher,Hindu,0.4749666403744905,0.4749666403744905,0.1836904336549908,0.0038470370387876,0.3373561143643136,7.026122515976126e-05,6.95133422574246e-05,Hindu,0.42584571428049134
aahir,Hindu,0.567134907530011,0.567134907530011,0.2885968353934389,0.0020887065812496,0.1419373653640792,4.839300354746079e-05,0.0001937921276737,Hindu,0.4784153466952965
aahire,Hindu,0.7518466708586975,0.7518466708586975,0.1151761247830242,0.0007752180193861,0.1320485026820117,4.232783684681406e-05,0.0001111558200337,Hindu,0.7003087367162538
aajaad,Christian,0.8304065112704866,0.1170668695980704,0.0493758989540445,0.0027163992330249,0.8304065112704866,3.2677756968008375e-05,0.0004016431874053,Christian,0.8043367721639202
aakaamkshaa,Christian,0.743236727641084,0.1865214851740943,0.0630062925310672,0.0048020665408893,0.743236727641084,3.537585886681696e-05,0.0023980522539981,Christian,0.7129716640098355
aakaas,Christian,0.9577085265162668,0.0239014520508247,0.017537119766032,0.0007894173542841,0.9577085265162668,8.34931032105195e-06,5.513500227116924e-05,Christian,0.9469067144501001
aalam,Hindu,0.5849902568358184,0.5849902568358184,0.1800831033500149,0.0019990391987434,0.2300145695180474,1.9272139148731587e-05,0.0028937589582271,Hindu,0.5239049332574303
aalook,Christian,0.5187041655055452,0.3785493754157548,0.0903465296335602,0.0120312329491266,0.5187041655055452,0.0001271876844576,0.0002415088115554,Christian,0.4907606681797414
aamanaa,Christian,0.6457871998400312,0.3396660479238123,0.0136479445365592,0.0002717219963745,0.6457871998400312,0.0001965345613697,0.0004305511418529,Christian,0.6384824356265406
aambhoore,Hindu,0.9447532459252472,0.9447532459252472,0.0295537992811062,0.0004415034023046,0.0248197297985547,1.2047319951722465e-05,0.0004196742728355,Hindu,0.9270202637495002
aamgad,Hindu,0.8378866927624881,0.8378866927624881,0.022536769559822,0.001957573186621,0.1323408514873773,0.000568906352541,0.0047092066511504,Hindu,0.8241369296486328
aamgooree,Hindu,0.5055376152316612,0.5055376152316612,0.1402502787683247,0.0059304436316558,0.3476248473936159,0.0003705241201086,0.0002862908546336,Hindu,0.46529154984498966
aamguree,Hindu,0.6819351362185936,0.6819351362185936,0.0857538717041973,0.0327774111495383,0.1990421771421124,0.000173530006621,0.0003178737789372,Hindu,0.6555125178895455
aamir,Hindu,0.6384912614815552,0.6384912614815552,0.2778264040973209,0.003783672064194,0.0787675383760253,1.6069153743178404e-05,0.0011150548271613,Hindu,0.5416457698373373
aamjalee,Muslim,0.9088493571177948,0.0236977441174557,0.9088493571177948,0.0003835309135817,0.0670144367262434,3.65761546190579e-06,5.127350946233548e-05,Muslim,0.942969983898389
